"race","year","stage","stage_id","stage_num","stage_type","date","departure","arrival","parcours_type","distance","vertical_meters","profile_score","startlist_quality","avg_speed_winner","won_how","win_type","km_solo"
"Tour de France",1971,"Stage 1a | Mulhouse - Bâle","1a",2,"Road race",1971-06-27,"Mulhouse","Bâle","Hills flat finish",59.5,598,19,1268,42.2,NA,NA,NA
"Tour de France",1971,"Stage 1b | Basel - Freiburg","1b",3,"Road race",1971-06-27,"Basel","Freiburg","Flat",90,2226,206,1268,36.38,NA,NA,NA
"Tour de France",1971,"Stage 1c | Freiburg - Mulhouse","1c",4,"Road race",1971-06-27,"Freiburg","Mulhouse","Flat",74,338,3,1268,42.88,NA,NA,NA
"Tour de France",1971,"Stage 2 | Mulhouse - Strasbourg","2",5,"Road race",1971-06-28,"Mulhouse","Strasbourg","Hills flat finish",144,1349,31,1268,46.59,NA,NA,NA
"Tour de France",1971,"Stage 3 | Strasbourg - Nancy","3",6,"Road race",1971-06-29,"Strasbourg","Nancy","Hills flat finish",165.5,2083,46,1268,39.04,NA,NA,NA
"Tour de France",1971,"Stage 4 | Nancy - Marche-en-Famenne","4",7,"Road race",1971-06-30,"Nancy","Marche-en-Famenne","Flat",242,2445,65,1268,35.85,NA,NA,NA
"Tour de France",1971,"Stage 5 | Dinant - Roubaix","5",8,"Road race",1971-07-01,"Dinant","Roubaix","Hills flat finish",208.5,2039,47,1268,39.85,NA,NA,NA
"Tour de France",1971,"Stage 6a | Roubaix - Amiens","6a",9,"Road race",1971-07-02,"Roubaix","Amiens","Flat",127.5,844,17,1268,41.73,NA,NA,NA
"Tour de France",1971,"Stage 6b | Amiens - Le Touquet","6b",10,"Road race",1971-07-02,"Amiens","Le Touquet","Flat",133.5,836,13,1268,35.14,NA,NA,NA
"Tour de France",1971,"Stage 7 | Rungis - Nevers","7",11,"Road race",1971-07-04,"Rungis","Nevers","Flat",257.5,1622,16,1268,38.1,NA,NA,NA
"Tour de France",1971,"Stage 8 | Nevers - Puy de Dôme","8",12,"Road race",1971-07-05,"Nevers","Puy de Dôme","Mountains flat finish",221,3922,324,1268,34.79,NA,NA,NA
"Tour de France",1971,"Stage 9 | Clermont-Ferrand - Saint-Étienne","9",13,"Road race",1971-07-06,"Clermont-Ferrand","Saint-Étienne","Mountains flat finish",153,2875,125,1268,37.89,NA,NA,NA
"Tour de France",1971,"Stage 10 | Saint-Étienne - Grenoble","10",14,"Road race",1971-07-07,"Saint-Étienne","Grenoble","Mountains flat finish",188.5,4185,316,1268,34.85,NA,NA,NA
"Tour de France",1971,"Stage 11 | Grenoble - Orcières","11",15,"Road race",1971-07-08,"Grenoble","Orcières","Mountains flat finish",134,4394,323,1268,33.11,NA,NA,NA
"Tour de France",1971,"Stage 12 | Orcières - Marseille","12",16,"Road race",1971-07-10,"Orcières","Marseille","Flat",251,2337,51,1268,46.27,NA,NA,NA
"Tour de France",1971,"Stage 13 (ITT) | Albi - Albi","13",17,"ITT",1971-07-11,"Albi","Albi","Flat",16.3,211,22,1268,42.61,"Time trial","Time trial",NA
"Tour de France",1971,"Stage 14 | Revel - Luchon","14",18,"Road race",1971-07-12,"Revel","Luchon","Mountains flat finish",214.5,4000,354,1268,34.61,NA,NA,NA
"Tour de France",1971,"Stage 15 | Luchon - Superbagnères","15",19,"Road race",1971-07-13,"Luchon","Superbagnères","Mountains flat finish",19.6,1416,267,1268,24.65,NA,NA,NA
"Tour de France",1971,"Stage 16a | Luchon - Gourette","16a",20,"Road race",1971-07-14,"Luchon","Gourette","Mountains flat finish",145,5000,522,1268,28.19,NA,NA,NA
"Tour de France",1971,"Stage 16b | Gourette - Pau","16b",21,"Road race",1971-07-14,"Gourette","Pau","Mountains flat finish",57.5,924,74,1268,44.25,NA,NA,NA
"Tour de France",1971,"Stage 17 | Mont-de-Marsan - Bordeaux","17",22,"Road race",1971-07-15,"Mont-de-Marsan","Bordeaux","Flat",188,783,4,1268,33.92,NA,NA,NA
"Tour de France",1971,"Stage 18 | Bordeaux - Poitiers","18",23,"Road race",1971-07-16,"Bordeaux","Poitiers","Flat",244,1918,32,1268,37.49,NA,NA,NA
"Tour de France",1971,"Stage 19 | Blois - Versailles","19",24,"Road race",1971-07-17,"Blois","Versailles","Flat",185,1129,52,1268,34.57,NA,NA,NA
"Tour de France",1971,"Stage 20 (ITT) | Versailles - Paris","20",25,"ITT",1971-07-18,"Versailles","Paris","Flat",53.8,475,16,1268,45.77,"Time trial","Time trial",NA
"Tour de France",1972,"Prologue | Angers - Angers","prologue",1,"Prologue",1972-07-01,"Angers","Angers","Flat",7.2,77,0,1358,48.814,"Time trial","Time trial",NA
"Tour de France",1972,"Stage 1 | Angers - St Brieuc","1",2,"Road race",1972-07-02,"Angers","St Brieuc","Flat",235.5,2010,39,1358,39.19,"Sprint of large group","Large group sprint",NA
"Tour de France",1972,"Stage 2 | St Brieuc - La Baule","2",3,"Road race",1972-07-03,"St Brieuc","La Baule","Flat",206.5,2233,29,1358,40,"Sprint of large group","Large group sprint",NA
"Tour de France",1972,"Stage 3a | Pornichet - St Jean de Monts","3a",4,"Road race",1972-07-04,"Pornichet","St Jean de Monts","Flat",161,884,4,1358,40.84,"Sprint of large group","Large group sprint",NA
"Tour de France",1972,"Stage 3b (TTT) | Merlin-Plage - Merlin-Plage","3b",5,"TTT",1972-07-04,"Merlin-Plage","Merlin-Plage","Flat",16.2,NA,NA,1358,10.02,"Time trial","Time trial",NA
"Tour de France",1972,"Stage 4 | Merlin-Plage - Royan","4",6,"Road race",1972-07-05,"Merlin-Plage","Royan","Flat",236,1100,9,1358,43.88,NA,NA,NA
"Tour de France",1972,"Stage 5a | Royan - Bordeaux","5a",7,"Road race",1972-07-06,"Royan","Bordeaux","Flat",133.5,858,11,1358,44.61,NA,NA,NA
"Tour de France",1972,"Stage 5b (ITT) | Bordeaux - Bordeaux","5b",8,"ITT",1972-07-06,"Bordeaux","Bordeaux","Flat",12.7,NA,NA,1358,47.38,"Time trial","Time trial",NA
"Tour de France",1972,"Stage 6 | Bordeaux - Bayonne","6",9,"Road race",1972-07-07,"Bordeaux","Bayonne","Flat",205,1130,27,1358,35.74,NA,NA,NA
"Tour de France",1972,"Stage 7 | Bayonne - Pau","7",10,"Road race",1972-07-09,"Bayonne","Pau","Mountains flat finish",220.5,4000,279,1358,36.52,NA,NA,NA
"Tour de France",1972,"Stage 8 | Pau - Luchon","8",11,"Road race",1972-07-10,"Pau","Luchon","Mountains flat finish",163.5,4000,363,1358,33.28,NA,NA,NA
"Tour de France",1972,"Stage 9 | Luchon - Colomiers","9",12,"Road race",1972-07-11,"Luchon","Colomiers","Hills flat finish",179,2000,97,1358,37.95,NA,NA,NA
"Tour de France",1972,"Stage 10 | Castres - La Grande-Motte","10",13,"Road race",1972-07-12,"Castres","La Grande-Motte","Hills flat finish",210,2500,92,1358,34.21,NA,NA,NA
"Tour de France",1972,"Stage 11 | Carnon Plage - Mont Ventoux","11",14,"Road race",1972-07-13,"Carnon Plage","Mont Ventoux","Mountains uphill finish",207,2918,328,1358,28.63,NA,NA,NA
"Tour de France",1972,"Stage 12 | Carpentras - Orcières-Merlette","12",15,"Road race",1972-07-14,"Carpentras","Orcières-Merlette","Mountains uphill finish",192,4000,277,1358,34.03,NA,NA,NA
"Tour de France",1972,"Stage 13 | Orcières-Merlette - Briançon","13",16,"Road race",1972-07-16,"Orcières-Merlette","Briançon","Mountains uphill finish",201,4000,434,1358,31.23,NA,NA,NA
"Tour de France",1972,"Stage 14a | Briançon - Valloire","14a",17,"Road race",1972-07-17,"Briançon","Valloire","Mountains flat finish",51,1589,173,1358,33.25,NA,NA,NA
"Tour de France",1972,"Stage 14b | Valloire - Aix les Bains","14b",18,"Road race",1972-07-17,"Valloire","Aix les Bains","Mountains flat finish",151,2500,242,1358,31.36,NA,NA,NA
"Tour de France",1972,"Stage 15 | Aix les Bains - Le Revard","15",19,"Road race",1972-07-18,"Aix les Bains","Le Revard","Mountains uphill finish",28,1423,205,1358,24.06,NA,NA,NA
"Tour de France",1972,"Stage 16 | Aix les Bains - Pontarlier","16",20,"Road race",1972-07-19,"Aix les Bains","Pontarlier","Hills flat finish",198.5,3916,158,1358,32.34,NA,NA,NA
"Tour de France",1972,"Stage 17 | Pontarlier - Ballon d'Alsace","17",21,"Road race",1972-07-20,"Pontarlier","Ballon d'Alsace","Mountains uphill finish",213,3000,267,1358,35.59,NA,NA,NA
"Tour de France",1972,"Stage 18 | Vesoul - Auxerre","18",22,"Road race",1972-07-21,"Vesoul","Auxerre","Hills flat finish",257.5,2671,67,1358,33.71,NA,NA,NA
"Tour de France",1972,"Stage 19 | Auxerre - Versailles","19",23,"Road race",1972-07-22,"Auxerre","Versailles","Flat",230,1713,52,1358,34.34,NA,NA,NA
"Tour de France",1972,"Stage 20a (ITT) | Versailles - Versailles","20a",24,"ITT",1972-07-23,"Versailles","Versailles","Flat",42,567,32,1358,45.45,"Time trial","Time trial",NA
"Tour de France",1972,"Stage 20b | Versailles - Paris","20b",25,"Road race",1972-07-23,"Versailles","Paris","Flat",89,727,26,1358,35.08,NA,NA,NA
"Tour de France",1973,"Prologue | Scheveningen - Scheveningen","prologue",1,"Prologue",1973-06-30,"Scheveningen","Scheveningen","Flat",7.1,65,6,1320,42.74,"Time trial","Time trial",NA
"Tour de France",1973,"Stage 1a | Scheveningen - Rotterdam","1a",2,"Road race",1973-07-01,"Scheveningen","Rotterdam","Flat",84,332,6,1320,46.78,"Sprint of small group","Small group sprint",NA
"Tour de France",1973,"Stage 1b | Rotterdam - St Niklaas","1b",3,"Road race",1973-07-01,"Rotterdam","St Niklaas","Flat",137.5,405,1,1320,38.609,NA,NA,NA
"Tour de France",1973,"Stage 2a (TTT) | St Niklaas - St Niklaas","2a",4,"TTT",1973-07-02,"St Niklaas","St Niklaas","Flat",12.4,71,1,1320,10.26,"Time trial","Time trial",NA
"Tour de France",1973,"Stage 2b | St Niklaas - Roubaix","2b",5,"Road race",1973-07-02,"St Niklaas","Roubaix","Flat",138,1013,24,1320,38.54,NA,NA,NA
"Tour de France",1973,"Stage 3 | Roubaix - Reims","3",6,"Road race",1973-07-03,"Roubaix","Reims","Hills flat finish",226,1998,51,1320,39.66,NA,NA,NA
"Tour de France",1973,"Stage 4 | Reims - Nancy","4",7,"Road race",1973-07-04,"Reims","Nancy","Hills uphill finish",214,1854,52,1320,34.73,NA,NA,NA
"Tour de France",1973,"Stage 5 | Nancy - Mulhouse","5",8,"Road race",1973-07-05,"Nancy","Mulhouse","Mountains flat finish",188,2956,117,1320,36.12,NA,NA,NA
"Tour de France",1973,"Stage 6 | Belfort - Divonne les Bains","6",9,"Road race",1973-07-06,"Belfort","Divonne les Bains","Mountains flat finish",244.5,3000,160,1320,35.52,NA,NA,NA
"Tour de France",1973,"Stage 7a | Divonne les Bains - Gaillard","7a",10,"Road race",1973-07-08,"Divonne les Bains","Gaillard","Mountains flat finish",86.5,1669,164,1320,36.9,NA,NA,NA
"Tour de France",1973,"Stage 7b | Gaillard - Méribel les Allues","7b",11,"Road race",1973-07-08,"Gaillard","Méribel les Allues","Mountains uphill finish",150.5,3500,394,1320,31.74,NA,NA,NA
"Tour de France",1973,"Stage 8 | Moutiers - Les Orres","8",12,"Road race",1973-07-09,"Moutiers","Les Orres","Mountains uphill finish",237.5,6500,532,1320,29.95,NA,NA,NA
"Tour de France",1973,"Stage 9 | Embrun - Nice","9",13,"Road race",1973-07-10,"Embrun","Nice","Mountains flat finish",234.5,6000,642,1320,28.11,NA,NA,NA
"Tour de France",1973,"Stage 10 | Nice - Aubagne","10",14,"Road race",1973-07-11,"Nice","Aubagne","Mountains flat finish",222.5,3000,227,1320,30.44,NA,NA,NA
"Tour de France",1973,"Stage 11 | Montpellier - Argelès sur Mer","11",15,"Road race",1973-07-12,"Montpellier","Argelès sur Mer","Flat",238,2329,38,1320,30.69,NA,NA,NA
"Tour de France",1973,"Stage 12a (ITT) | Perpignan - Thuir","12a",16,"ITT",1973-07-13,"Perpignan","Thuir","Hills flat finish",28.3,270,7,1320,45.4,"Time trial","Time trial",NA
"Tour de France",1973,"Stage 12b | Thuir - Pyrénées 2000","12b",17,"Road race",1973-07-13,"Thuir","Pyrénées 2000","Mountains uphill finish",76,2880,306,1320,29.41,NA,NA,NA
"Tour de France",1973,"Stage 13 | Bourg Madame - Luchon","13",18,"Road race",1973-07-15,"Bourg Madame","Luchon","Mountains flat finish",235,5000,455,1320,34.24,NA,NA,NA
"Tour de France",1973,"Stage 14 | Luchon - Pau","14",19,"Road race",1973-07-16,"Luchon","Pau","Mountains flat finish",227.5,4500,306,1320,31.69,NA,NA,NA
"Tour de France",1973,"Stage 15 | Pau - Fleurance","15",20,"Road race",1973-07-17,"Pau","Fleurance","Flat",137,1861,88,1320,36.6,NA,NA,NA
"Tour de France",1973,"Stage 16a | Fleurance - Bordeaux","16a",21,"Road race",1973-07-18,"Fleurance","Bordeaux","Flat",210,1556,20,1320,32.83,NA,NA,NA
"Tour de France",1973,"Stage 16b (ITT) | Bordeaux - Bordeaux","16b",22,"ITT",1973-07-18,"Bordeaux","Bordeaux","Flat",12.4,NA,NA,1320,45.41,"Time trial","Time trial",NA
"Tour de France",1973,"Stage 17 | Ste Foy la Grande - Brive","17",23,"Road race",1973-07-19,"Ste Foy la Grande","Brive","Hills flat finish",248,3000,117,1320,37.69,NA,NA,NA
"Tour de France",1973,"Stage 18 | Brive - Puy de Dôme","18",24,"Road race",1973-07-20,"Brive","Puy de Dôme","Mountains uphill finish",216.5,4000,289,1320,32.77,NA,NA,NA
"Tour de France",1973,"Stage 19 | Bourges - Versailles","19",25,"Road race",1973-07-21,"Bourges","Versailles","Flat",233.5,1442,49,1320,33.4,NA,NA,NA
"Tour de France",1973,"Stage 20a (ITT) | Versailles - Versailles","20a",26,"ITT",1973-07-22,"Versailles","Versailles","Flat",16,210,14,1320,45.82,"Time trial","Time trial",NA
"Tour de France",1973,"Stage 20b | Versailles - Paris","20b",27,"Road race",1973-07-22,"Versailles","Paris","Flat",89,727,26,1320,37.71,NA,NA,NA
"Tour de France",1974,"Prologue | Brest - Brest","prologue",1,"Prologue",1974-06-27,"Brest","Brest","Flat",7.1,129,9,1280,47.87,"Time trial","Time trial",NA
"Tour de France",1974,"Stage 1 | Brest - St Pol de Leon","1",2,"Road race",1974-06-28,"Brest","St Pol de Leon","Flat",144,1898,51,1280,42.04,NA,NA,NA
"Tour de France",1974,"Stage 2 | Plymouth  - Plymouth","2",3,"Road race",1974-06-29,"Plymouth","Plymouth","Hills uphill finish",163.7,1995,46,1280,42.02,NA,NA,NA
"Tour de France",1974,"Stage 3 | Morlaix - St Malo","3",4,"Road race",1974-06-30,"Morlaix","St Malo","Flat",190,2294,39,1280,39.87,NA,NA,NA
"Tour de France",1974,"Stage 4 | St Malo - Caen","4",5,"Road race",1974-07-01,"St Malo","Caen","Hills flat finish",184.5,2315,48,1280,38.32,NA,NA,NA
"Tour de France",1974,"Stage 5 | Caen - Dieppe","5",6,"Road race",1974-07-02,"Caen","Dieppe","Hills flat finish",165,1722,46,1280,38.74,NA,NA,NA
"Tour de France",1974,"Stage 6a | Dieppe  - Harelbeke","6a",7,"Road race",1974-07-03,"Dieppe","Harelbeke","Flat",239,1887,20,1280,37.84,NA,NA,NA
"Tour de France",1974,"Stage 6b (TTT) | Harelbeke - Harelbeke","6b",8,"TTT",1974-07-03,"Harelbeke","Harelbeke","Flat",9,71,0,1280,0.026,"Time trial","Time trial",NA
"Tour de France",1974,"Stage 7 | Mons - Chalons sur Marne","7",9,"Road race",1974-07-04,"Mons","Chalons sur Marne","Flat",221.5,2521,39,1280,33.34,"Sprint of large group","Large group sprint",NA
"Tour de France",1974,"Stage 8a | Chalons sur Marne - Chaumont","8a",10,"Road race",1974-07-05,"Chalons sur Marne","Chaumont","Hills uphill finish",136,1443,40,1280,36.41,NA,NA,NA
"Tour de France",1974,"Stage 8b | Chaumont - Besançon","8b",11,"Road race",1974-07-05,"Chaumont","Besançon","Hills flat finish",152,1869,58,1280,34.41,NA,NA,NA
"Tour de France",1974,"Stage 9 | Besançon - Gaillard","9",12,"Road race",1974-07-06,"Besançon","Gaillard","Mountains flat finish",241,4000,272,1280,33.63,NA,NA,NA
"Tour de France",1974,"Stage 10 | Gaillard - Aix les Bains","10",13,"Road race",1974-07-07,"Gaillard","Aix les Bains","Mountains flat finish",131.5,2803,270,1280,34.8,NA,NA,NA
"Tour de France",1974,"Stage 11 | Aix les Bains - Serre Chevalier","11",14,"Road race",1974-07-09,"Aix les Bains","Serre Chevalier","Mountains flat finish",199,6659,439,1280,28.73,NA,NA,NA
"Tour de France",1974,"Stage 12 | Savines le Lac - Orange","12",15,"Road race",1974-07-10,"Savines le Lac","Orange","Mountains flat finish",231,3000,137,1280,31.85,NA,NA,NA
"Tour de France",1974,"Stage 13 | Avignon - Montpellier","13",16,"Road race",1974-07-11,"Avignon","Montpellier","Flat",126,683,5,1280,38.63,NA,NA,NA
"Tour de France",1974,"Stage 14 | Lodève - Colomiers","14",17,"Road race",1974-07-12,"Lodève","Colomiers","Hills flat finish",248.5,2963,66,1280,34.45,NA,NA,NA
"Tour de France",1974,"Stage 15 | Colomiers - Seo de Urgel","15",18,"Road race",1974-07-14,"Colomiers","Seo de Urgel","Mountains flat finish",225,3000,208,1280,33.54,NA,NA,NA
"Tour de France",1974,"Stage 16 | Seo de Urgel - Saint-Lary-Soulan (Pla d'Adet)","16",19,"Road race",1974-07-15,"Seo de Urgel","Saint-Lary-Soulan (Pla d'Adet)","Mountains uphill finish",209,5500,617,1280,26.48,NA,NA,NA
"Tour de France",1974,"Stage 17 | Saint-Lary-Soulan - Tourmalet","17",20,"Road race",1974-07-16,"Saint-Lary-Soulan","Tourmalet","Mountains uphill finish",119,3000,520,1280,29.91,NA,NA,NA
"Tour de France",1974,"Stage 18 | Bagnères de Bigorre  - Pau","18",21,"Road race",1974-07-17,"Bagnères de Bigorre","Pau","Mountains flat finish",141.5,3000,269,1280,32.74,NA,NA,NA
"Tour de France",1974,"Stage 19a | Pau - Bordeaux","19a",22,"Road race",1974-07-18,"Pau","Bordeaux","Flat",195.5,1586,17,1280,40.18,NA,NA,NA
"Tour de France",1974,"Stage 19b (ITT) | Bordeaux - Bordeaux","19b",23,"ITT",1974-07-18,"Bordeaux","Bordeaux","Flat",12.4,NA,NA,1280,45.78,"Time trial","Time trial",NA
"Tour de France",1974,"Stage 20 | St Gilles Croix de Vie - Nantes","20",24,"Road race",1974-07-19,"St Gilles Croix de Vie","Nantes","Flat",117,624,8,1280,40.5,NA,NA,NA
"Tour de France",1974,"Stage 21a | Vouvray - Orléans","21a",25,"Road race",1974-07-20,"Vouvray","Orléans","Flat",112.5,911,8,1280,48.53,NA,NA,NA
"Tour de France",1974,"Stage 21b (ITT) | Orléans - Orléans","21b",26,"ITT",1974-07-20,"Orléans","Orléans","Flat",37.5,207,3,1280,46.5,"Time trial","Time trial",NA
"Tour de France",1974,"Stage 22 | Orléans - Paris","22",27,"Road race",1974-07-21,"Orléans","Paris","Flat",146,990,23,1280,38.17,NA,NA,NA
"Tour de France",1975,"Prologue | Charleroi - Charleroi","prologue",1,"Prologue",1975-06-26,"Charleroi","Charleroi","Flat",6.25,88,8,1283,42.53,"Time trial","Time trial",NA
"Tour de France",1975,"Stage 1a | Charleroi - Molenbeek","1a",2,"Road race",1975-06-27,"Charleroi","Molenbeek","Flat",94,842,31,1283,43.57,NA,NA,NA
"Tour de France",1975,"Stage 1b | Molenbeek - Roubaix","1b",3,"Road race",1975-06-27,"Molenbeek","Roubaix","Flat",108.5,956,28,1283,43.84,NA,NA,NA
"Tour de France",1975,"Stage 2 | Roubaix - Amiens","2",4,"Road race",1975-06-28,"Roubaix","Amiens","Flat",121.5,834,18,1283,46.35,NA,NA,NA
"Tour de France",1975,"Stage 3 | Amiens - Versailles","3",5,"Road race",1975-06-29,"Amiens","Versailles","Flat",169.5,1758,41,1283,41.67,NA,NA,NA
"Tour de France",1975,"Stage 4 | Versailles - Le Mans","4",6,"Road race",1975-06-30,"Versailles","Le Mans","Flat",223,1680,23,1283,40.98,NA,NA,NA
"Tour de France",1975,"Stage 5 | Sablé-sur-Sarthe  - Merlin-Plage","5",7,"Road race",1975-07-01,"Sablé-sur-Sarthe","Merlin-Plage","Flat",222.5,1535,14,1283,39.33,NA,NA,NA
"Tour de France",1975,"Stage 6 (ITT) | Merlin-Plage - Merlin-Plage","6",8,"ITT",1975-07-02,"Merlin-Plage","Merlin-Plage","Flat",16,98,2,1283,49.1,"Time trial","Time trial",NA
"Tour de France",1975,"Stage 7 | Saint-Gilles-Croix-de-Vie - Angoulême","7",9,"Road race",1975-07-03,"Saint-Gilles-Croix-de-Vie","Angoulême","Hills uphill finish",235.5,1366,15,1283,36.68,NA,NA,NA
"Tour de France",1975,"Stage 8 | Angoulême - Bordeaux","8",10,"Road race",1975-07-04,"Angoulême","Bordeaux","Flat",134,941,16,1283,39.05,NA,NA,NA
"Tour de France",1975,"Stage 9a | Langon  - Fleurance","9a",11,"Road race",1975-07-05,"Langon","Fleurance","Flat",131,1080,29,1283,40.2,NA,NA,NA
"Tour de France",1975,"Stage 9b (ITT) | Fleurance - Auch","9b",12,"ITT",1975-07-05,"Fleurance","Auch","Flat",37.4,589,31,1283,45.15,"Time trial","Time trial",NA
"Tour de France",1975,"Stage 10 | Auch - Pau","10",13,"Road race",1975-07-07,"Auch","Pau","Mountains flat finish",206,3000,197,1283,34.35,NA,NA,NA
"Tour de France",1975,"Stage 11 | Pau - Saint-Lary-Soulan (Pla d'Adet)","11",14,"Road race",1975-07-08,"Pau","Saint-Lary-Soulan (Pla d'Adet)","Mountains uphill finish",160,4500,456,1283,29.33,NA,NA,NA
"Tour de France",1975,"Stage 12 | Tarbes - Albi","12",15,"Road race",1975-07-09,"Tarbes","Albi","Flat",242,2479,79,1283,33.19,NA,NA,NA
"Tour de France",1975,"Stage 13 | Albi - Super Lioran","13",16,"Road race",1975-07-10,"Albi","Super Lioran","Hills uphill finish",260,6359,342,1283,28.96,NA,NA,NA
"Tour de France",1975,"Stage 14 | Aurillac - Puy de Dôme","14",17,"Road race",1975-07-11,"Aurillac","Puy de Dôme","Mountains uphill finish",173.5,4000,363,1283,31.85,NA,NA,NA
"Tour de France",1975,"Stage 15 | Nice - Pra-Loup","15",18,"Road race",1975-07-13,"Nice","Pra-Loup","Mountains uphill finish",217.5,6500,707,1283,27.97,NA,NA,NA
"Tour de France",1975,"Stage 16 | Barcelonnette - Serre Chevalier","16",19,"Road race",1975-07-14,"Barcelonnette","Serre Chevalier","Mountains flat finish",107,3000,339,1283,32.71,NA,NA,NA
"Tour de France",1975,"Stage 17 | Valloire - Avoriaz","17",20,"Road race",1975-07-15,"Valloire","Avoriaz","Mountains uphill finish",225,6000,573,1283,30.43,NA,NA,NA
"Tour de France",1975,"Stage 18 (ITT) | Morzine - Chatel","18",21,"ITT",1975-07-16,"Morzine","Chatel","Hills flat finish",40,1273,157,1283,37.94,"Time trial","Time trial",NA
"Tour de France",1975,"Stage 19 | Thonon-les-Bains - Chalon-sur-Saône","19",22,"Road race",1975-07-17,"Thonon-les-Bains","Chalon-sur-Saône","Mountains flat finish",229,3312,91,1283,33.19,NA,NA,NA
"Tour de France",1975,"Stage 20 | Pouilly-en-Auxois  - Melun","20",23,"Road race",1975-07-18,"Pouilly-en-Auxois","Melun","Flat",256,1780,28,1283,33.41,NA,NA,NA
"Tour de France",1975,"Stage 21 | Melun - Senlis","21",24,"Road race",1975-07-19,"Melun","Senlis","Flat",220.5,1699,31,1283,33.34,NA,NA,NA
"Tour de France",1975,"Stage 22 | Paris - Paris","22",25,"Road race",1975-07-20,"Paris","Paris","Flat",163.35,1631,14,1283,43.47,NA,NA,NA
"Tour de France",1976,"Prologue | St Jean de Monts - St Jean de Monts","prologue",1,"Prologue",1976-06-24,"St Jean de Monts","St Jean de Monts","Flat",8,66,2,1385,43.44,"Time trial","Time trial",NA
"Tour de France",1976,"Stage 1 | St Jean de Monts - Angers","1",2,"Road race",1976-06-25,"St Jean de Monts","Angers","Flat",173,1208,27,1385,36.6,NA,NA,NA
"Tour de France",1976,"Stage 2 | Angers - Caen","2",3,"Road race",1976-06-26,"Angers","Caen","Hills uphill finish",236.5,2301,58,1385,35.14,NA,NA,NA
"Tour de France",1976,"Stage 3 (ITT) | Le Touquet - Le Touquet","3",4,"ITT",1976-06-27,"Le Touquet","Le Touquet","Flat",37,169,2,1385,47.1,"Time trial","Time trial",NA
"Tour de France",1976,"Stage 4 | Le Touquet - Bornem","4",5,"Road race",1976-06-28,"Le Touquet","Bornem","Flat",258,1215,10,1385,34.29,NA,NA,NA
"Tour de France",1976,"Stage 5a (TTT) | Louvain - Louvain","5a",6,"TTT",1976-06-29,"Louvain","Louvain","Flat",4.3,45,0,1385,0.012,"Time trial","Time trial",NA
"Tour de France",1976,"Stage 5b | Louvain - Verviers","5b",7,"Road race",1976-06-29,"Louvain","Verviers","Hills flat finish",144,1961,93,1385,37.36,NA,NA,NA
"Tour de France",1976,"Stage 6 | Bastogne - Nancy","6",8,"Road race",1976-06-30,"Bastogne","Nancy","Hills flat finish",209,2195,61,1385,38.88,NA,NA,NA
"Tour de France",1976,"Stage 7 | Nancy - Mulhouse","7",9,"Road race",1976-07-01,"Nancy","Mulhouse","Hills flat finish",205.5,3275,120,1385,36.14,NA,NA,NA
"Tour de France",1976,"Stage 8 | Valentigney - Divonne les Bains","8",10,"Road race",1976-07-02,"Valentigney","Divonne les Bains","Mountains flat finish",220.5,3000,199,1385,37.35,NA,NA,NA
"Tour de France",1976,"Stage 9 | Divonne les Bains - L'Alpe d'Huez","9",11,"Road race",1976-07-04,"Divonne les Bains","L'Alpe d'Huez","Mountains uphill finish",258,6481,457,1385,30.25,NA,NA,NA
"Tour de France",1976,"Stage 10 | Bourg d'Oisans - Montgenèvre","10",12,"Road race",1976-07-05,"Bourg d'Oisans","Montgenèvre","Mountains uphill finish",166,4500,502,1385,32.94,NA,NA,NA
"Tour de France",1976,"Stage 11 | Montgenèvre - Manosque","11",13,"Road race",1976-07-06,"Montgenèvre","Manosque","Hills flat finish",244,2500,165,1385,42.74,"160 km solo","Solo",160
"Tour de France",1976,"Stage 12 | Port Barcares - Pyrénées 2000","12",14,"Road race",1976-07-08,"Port Barcares","Pyrénées 2000","Mountains uphill finish",205.5,4500,478,1385,30.26,NA,NA,NA
"Tour de France",1976,"Stage 13 | Font Romeu - Saint-Gaudens","13",15,"Road race",1976-07-09,"Font Romeu","Saint-Gaudens","Mountains flat finish",188,2500,148,1385,37.93,NA,NA,NA
"Tour de France",1976,"Stage 14 | Saint-Gaudens - Saint-Lary-Soulan (Pla d'Adet)","14",16,"Road race",1976-07-10,"Saint-Gaudens","Saint-Lary-Soulan (Pla d'Adet)","Mountains uphill finish",139,4500,505,1385,31.97,NA,NA,NA
"Tour de France",1976,"Stage 15 | Saint-Lary-Soulan - Pau","15",17,"Road race",1976-07-11,"Saint-Lary-Soulan","Pau","Mountains flat finish",195,4500,274,1385,32.35,NA,NA,NA
"Tour de France",1976,"Stage 16 | Pau - Fleurance","16",18,"Road race",1976-07-12,"Pau","Fleurance","Flat",152,1587,60,1385,32.74,NA,NA,NA
"Tour de France",1976,"Stage 17 (ITT) | Fleurance - Auch","17",19,"ITT",1976-07-13,"Fleurance","Auch","Flat",38.75,522,29,1385,44.13,"Time trial","Time trial",NA
"Tour de France",1976,"Stage 18a | Auch - Langon","18a",20,"Road race",1976-07-14,"Auch","Langon","Flat",86,869,17,1385,33.37,NA,NA,NA
